song_id,song_title,artist_id,artist_name,song_year_combined,song_decade_combined,lyrics,Annotators,is_care,is_harm,is_fairness,is_cheating,is_loyalty,is_betrayal,is_authority,is_subversion,is_purity,is_degradation
5714dee725ac0d8aee5391e7,The Perfect Christmas,56d97c59cc2ddd0c0f6bcaba,The Cheetah Girls,2005,2000,"The breeze with snow and mistletoe
The presents under the tree
A GingerBread riding on a sled
It's the perfect christmas to me

The Candy Canes on Santa's lane
The stockings up on the wall
When sleigh bells ring and children sing
""Peace on earth and good will do all.""

It's the perfect holiday
Together with the family
It's the perfect christmas to me

It's Rudolph with his nose so bright
The songs we love to hear
All is come and all is right
It's the perfect time of the year

The decorations and celebrations
It's almost christmas day
The night before, anticapating
Santa on his way

It's the perfect holiday
Together with the family
It's the perfect christmas to me

And just like each and every year
I'll always make one wish
'Cause having all of you right here
Is the perfect christmas gift

The Candy Canes on Santa's lane
The stockings up on the wall
When sleigh bells ring and children sing
""Peace on earth and good will do all.""

It's the perfect holiday
Together with the family
It's the perfect christmas to me
(It's the perfect Christmas)

It's the perfect time for singing
The whole world in hormony
It's the perfect christmas to me
(Perfect to me-Yeah)

It's the perfect christmas to me",annotator_x,1,0,0,0,0,0,0,0,1,0
5714dec925ac0d8aee3ca657,Soul Collector,56d80c1753a7ddfc01f91d82,Cans,2004,2000,"I move across the earth
Dark shadows call my name
I am the chosen one, I am insane
I am your darkest fear
Your sinner and your saint
Through all eternity I set my sail

You cannot sleep at night
Still haunted, feel the fright
Your final revelation
Cold sweat, burning fear
You know the end is near
The ruler of the wastelands

Wielding the axe
Behold the bloodstains on the floor
Wielding the axe
I am the soul collector

Inside a raging storm
My spirit was reborn
Thy sins, the spark to feed my flames
You feel the cold winds blow
I'm breathing down your neck
Countdown, I'm ready to attack

Reflections from the blade
Your screams begin to fade
I will bring you salvation
Red hot, burning steel
The powers that I feel
The cure for my damnation

Wielding the axe
Behold the bloodstains on the floor
Wielding the axe
I am the soul collector",annotator_x,0,1,0,0,0,0,0,1,0,0
5714ded125ac0d8aee42d178,Candy Apple Red,56d834ce53a7ddfc01f9578a,George Hamilton IV,1964,1960,"He came speeding through the town each day at sundown
And his car was painted candy apple red
He was coming there to see the sheriff's daughter
And the sheriff didn't know it so they said
Time and time again the sheriff tried to catch him
But he always speeded up and got away
The old county jail stood patiently awaiting
And the sheriff vowed he'd put him there some day
Well there goes candy apple red that's what the people said
If he doesn't slow it down a bit he's gonna end up dead
And the sheriff's daughter said she'd rather end up dead
Than to live without her candy apple red

So the sheriff built a barricade to catch him
And he sat there at the limits of the town
But the sheriff's daughter had already met him
And had married him before the sun went down
When the sheriff saw the coming down the highway
He saw they couldn't stop and so he held his breath
As they crashed the barricade the car exploded
And the boy and girl went to a flaming death
Well there goes candy apple red that's what the people said
He didn't slow it down at all and he lies there dead
Now the sheriff bowed his head his daughter laied there dead
There in the arms of candy apple red",annotator_x,0,1,0,0,0,0,0,0,0,0
5714ded625ac0d8aee46a6c8,Mr. Wankerman,56d84d4553a7ddfc01f97aab,Joss Stone,2009,2000,"Mr., Mr., Mr., do you hear me?
Mr. Wankerman, I get so tired of your shit, yes, I do
Mr. Wankerman, you got no respect, no no
You're selfish, yes, you are, yes, you are, yes, you are

I've been checking my clock wouldn't it be worth a lot
If you would just call me, boy
We've been talking a lot, saying it'd be worth a shot
Saying that you want to fall

Wouldn't it be nice if you would turn up?
Maybe once or twice you'd pick the phone up
Shout it to my heart to know you won't be true
I keep hoping that I'll sober, maybe realize it's over
Will I ever see a change in you?

Mr. Wankerman, I get so tired of your shit
Mr. Wankerman, you got no respect, no
You're selfish yes, you are

Ain't got enough mistakes on my page for it all
You got me fucked, you got me fucked, baby
There was a time when I cried, now I don't care at all
Now I'm just bored, I'm so bored

See it's the same of something stupid
Had a falling out with Cupid
Told me fairy tales of someone with a heart

My prince charming took a wrong turn
When it sings and never came over
Will you smile and laugh when you're alone?
Will you smile, baby?

You're Mr. Wankerman, I get so tired of your shit
Yes, I do
Mr. Wankerman, you got no respect, no, no
You're selfish yes, you are

Mr. Wankerman, hey, hey, there
Mr., Mr., yeah, Mr. Wankerman, yeah, yeah

Mr. Wankerman, I get so tired of your shit
Mr. Wankerman, you got no respect, no
You're selfish, yes, you are, yes, you are, yes, you are

Mr. Wankerman, I'm gunna, I'm gunna let my band
Tell you something worth thinking about
Tell him for me, tell him for me now

Mr., Mr., Mr. Wankerman, yeah, yeah, yeah
Mr. Wankerman, I'm so tired, we all tired
Every single one of us here, we're sick and tired
We're sick and tired of your shit

Mr. Wankerman, I've been so tired of your shit
Along with everything else, baby
Mr. Wankerman, you got no respect for your lady
And you're selfish, yes, you are, yes, you are

Mr. Wankerman, yeah, yeah
Mr. Wankerman, yeah, yeah
Mr. Wankerman, you a wankerman
Yeah, yeah, yeah

I put up with your shit for such a long time
I'm not gunna take no more, no, no, no, no, no, no, no
I'm tired, baby, can't you see that I'm tired, love?
I even had to, I had to write song about it

It's ridiculous, yeah, to get you off my chest
Out of my head, out of my life for good, baby
'Cause you're just a silly little wankerman
Not worth it, silly little man, yeah

Moving on, moving on, moving on, moving on
To someone, taller, cuter, nicer and all the way better
And everything, everything I need, dear, yeah
You just so silly, baby, you're a wankerman

Thank you for dusty, love, she's really cute
And thank you for the lyrics, love, they really helped me out
Thank you for growing me up
I lost a lot of trust with you but I'm wiser for it, yes, I am

Now you can go on, boy
Don't turn around, just keep walking
Mr. Wankerman, yes, walking, walking, baby
You got a couple issues in your head
Nothing but a no-good, dirty ugly asshole
Maybe that was a little harsh
Walking, walking

Keep on bouncing, yeah, yeah
Keep on bouncing, step, step, stepping
Keep on stepping, keep on moving on
One foot in front of the other
Get the fuck out of my face, bitch
That's a keeper

Bitch, Mr. Wankerman
He's such a twat
Did anybody see 'War of the Worlds'?",annotator_x,0,0,0,0,0,1,0,1,0,0
5714dee025ac0d8aee4e6b00,Around The World In A Day,56d95b58cc2ddd0c0f6b994a,Prince,1985,1980,"Open your heart, open your mind
A train is leaving all day
A wonderful trip through our time
And laughter is all U pay
Around the world in a day, oh!
Around the world in a day

Now dig...
Loneliness already knows U
There ain't no reason 2 stay
Come here, take my hand, I'll show U
I think I know a better way, y'all

Around the world in a day, ow!
(Listen 2 me now)
Around the world in a day
All the babies sing it now

Ooh la, la
Ooh la, la, la, la
No, sha, sha
No, no shouting every day (No shouting every day)
No shouting (No shouting)
No, no shouting
Ha, ha, ha, ha, ha, ha, ha, ha
The little one will escort U
2 places within your mind
(The former is red, white, and blue)
Former is red, white, and blue!
(The latter is a purple climb)
The latter is a purple - come on and climb!

Around the world in a day, sugar (Oh, baby)
Around the world in a day
Come on, say it!
Around the world in a day
Say papa, I think I wanna dance!

(In summer she is sweeter)

Around the world in a day {repeat to fade}
Oh yeah!
All the little babies sing around the world
A government of love and music boundless in its unifying power
A nation of art 2 production
Sharing ideas, a shower of flowers",annotator_x,1,0,0,0,0,0,0,0,0,0
5714dec325ac0d8aee382309,Strong Arm Of The Law,56d7ead026a8a3040c6869d2,Aaron Watson,2001,2000,"His mother begged him to be a cattleman
But he chose to wear the star his daddy wore
God blessed him with a sharp eye and a quick hand
Quicker than the man who shot his daddy to the floor
Still she prayed and she pleaded
But ranch work lacked the vengeance he needed
He was cursed on his daddy's dying day
When a shot to the back laid him in six feet in a grave

Chorus

And he wears a star on his vest
The only thing between a bullet and the heart in his chest
He'll be a ranger till he takes his last draw
He was born with the strong arm of the law

He wore a colt 45 on his hip
One notch short on the ivory grip
Searching for the outlaw that broke his momma's heart
Riding through the badlands from daylight to dark

In a dirty back water border town
Where the outlaw thought he could not be found
He looked like he'd seen a ghost when he saw the ranger's face
A legacy to the lawman he sent to his resting-place

Chorus

The outlaw had no place to run
So he turned to the trigger on his gun
As the smoke cleared blood stained the dusty street
The outlaw lay dying at the ranger's feet

He sat in the saddle and shook his head
His gun still hot and his father still dead
As the sun set on the day he'd waited so long for
He saw justice belongs to the law but vengeance is the lord's",annotator_x,0,0,0,0,1,0,1,0,0,0
5714dedf25ac0d8aee4d7e99,Convoy,56d9559dcc2ddd0c0f6b916a,Paul Brandt,2004,2000,"(Yeah, breaker one-nine, this here's the Rubber Duck, you got a copy
on me Pigpen? C'mon.)
(Ah yeah, ten-four Pigpen, for sure, for sure. By golly it's clean clear to
Flagtown. C'mon.)
(Yeah, that's a big ten-four there Pigpen. Yeah, we definitely got the
front door good buddy. Mercy sakes alive, looks like we got us a
convoy)

It was the dark of the moon on the sixth of June
In a Kenworth pullin logs
Cab over Pete with a reefer on
And a Jimmy haulin hogs
We's headed for bear on eye-one-oh
About a mile outta Shakeytown
I says 'Pigpen, this here's the Rubber Duck
And I'm about to put the hammer down'

Coz we got a little ol' convoy rockin' thru the night
Yeah we got a little ol' convoy aint she a beautiful sight
Come on and join our convoy aint nothin' gonna get in our way
We gonna roll this fuckin' convoy 'cross the USA
Convoy

(Ah, breaker, Pigpen this here's the Duck an' you wanna back off on
them hogs?)
(Ah, ten-four, about five mile or so)
(Ten roger, them hogs is gettin' IN-tense up here)

By the time we got into Tulsa town we had 85 trucks in all
But they's a roadblock up on the cloverleaf
And them bears 's wall to wall
Yeah them smokeys 's thick as bugs on a bumper
They even had a bear in the air
I says 'Callin' all trucks, this here's the Duck
We about to go a-huntin' bear'

Coz we got a great big convoy rockin' thru the night
Yeah we got a great big convoy aint she a beautiful sight
Come on and join our convoy aint nothin' gonna get in our way
We gonna roll this fuckin' convoy 'cross the USA
Convoy

(Ah, you want to give me a ten-nine on that Pigpen?)
(Ah, negatory Pigpen, you're still too close. Yeah them hogs is startin'
to close up my sinuses. Mercy's sakes you better back off another ten)

Well we rolled up Interstate Forty-Four
Like a rocket sled on rails
We tore up all of our swindle sheets
And left 'em sittin' on the scales
By the time we hit that Shi town
Them bears was a-gettin' smart
They bought up some reinforcements
From the Illinois National Guard

There's armoured cars and tanks and jeeps
An' rigs of ev'ry size
Yeah them chicken coops was full of bears
And choppers filled the skies
Well we shot the line
We went for broke
With a thousand screaming trucks
And eleven longhaired friends of Jesus
In a chartreuse microbus

(Ah, Rubber Duck, this 's Sodbuster. C'mon here?)
(Yeah, ten-four Sodbuster. Listen, ya wanna put that microbus in
behind that suicide jockey?)
(Yeah he's haulin' dynamite and he needs all the help he can get)

Well we laid a strip for the Jersey shore
Prepared to cross the line
I could see the bridge was lined with bears
But I didn't have a doggone dime
I says 'Pigpen this here's the Rubber Duck
We just aint gonna pay no toll'
So we crashed the gate doin' ninety-eight
I says 'Let them truckers roll, ten-four'

Coz we got a mighty convoy rockin' thru the night
Yeah we got a mighty convoy aint she a beautiful sight
Come on and join our convoy aint nothin' gonna get in our way
We gonna roll this fuckin' convoy 'cross the USA
Convoy

(Ah, ten-four Pigpen. What's your twenty? OMAHA? Well they oughta
know what to do with them hogs out there, for sure. Well mercy sakes
good buddy, we gonna back on outta here, so keep your thumbs off
your glass and the bears off your ......tail. We'll catch you on the
flip-flop. This here's the Rubber Duck on the side. We gone. 'bye 'bye.)",annotator_x,0,0,0,0,0,0,0,1,0,0
5714dee325ac0d8aee50a32e,Say Ho,56d9693ccc2ddd0c0f6badb0,Scott Miller,2006,2000,"He was born in Virginia
In the Shenadoah Valley
Right about the time that this country got free
When his father died they left
Packed it up and headed west
To the hills that put the east in Tennessee
Say Ho
A man has got to make his mark
And the second british war did start
He was bored so he joined and went along
Took an arrow in the hip
A ball in the shoulder but he ever quit
Still full of fight when they finally dragged him home
Say ho
Reading Homer to some Cherokee maidens
And you know how TN is in the fall
If you're not gonna make your dreams epic
Why bother to dream anything at all?
He met a man named Andy Jack
Who put him on the nashville map
But even then that town could piss you off
Partied hard and ran the state
Found a girl to take his name
And they still don't know why he up and left it all
Say Ho
Never trust nobody when you're drinking
Lest you get insulted or rolled
Drink too much you'll pickle up your instinct
And then you cant trust anyone at all
Half mystic and half showman
Half poet and half sage
And way too stubborn to ever admit defeat
Although Texas was no state
San Jacinto was the place
That destiny was ready to be seized
Say Ho
Well Texas he created you
And three times he did save you too
And tried to help you make it on your own
You joined the union anyway
And when he thought you should stay
You turned your back on him and sent him home
SayHo
Is there anyone still left so full of honor
That you trust everything you heard?
In Texas anywhere that you may wander
Sam Houston was the man that kept his word",annotator_x,0,0,0,0,1,0,0,0,0,0
5714ded125ac0d8aee42ead4,Man Worth Lovin' You,56d8355153a7ddfc01f9583f,George Jones,2008,2000,"If I hadn't quit my ways of wrong I know what I would have done
I kept falling down in life till I became no one
But you found me just in time and held my head up high
And showed me the right way I should go and made me realize
I hadn't reached the end of life your love have pulled me through
Then you made me become the man worth lovin' you.

Yes, you gave me a reason to keep livin'
And made me have some faith in what I do
Yes, you gave me a reason to start givin'
When I became the man worth lovin' you.

I thought that life have turned on me and made me lose my faith
But I know now it wasn't life that filled my heart with pain
I thought that love have turned me down until you came along
But now I know what real love is I feel it to the bone
I hadn't reached the end of life your love have pulled me through
When you made me became the man worth lovin' you.

Yes you gave me a reason to keep livin'
And made me have some faith in what I do
Yes, you gave me a reason to start givin'
When I became the man worth lovin' you.

When I became the man worth lovin' you",annotator_x,1,0,0,0,0,0,0,0,0,0
5714dec925ac0d8aee3cbb34,Special Lady,56d80ca353a7ddfc01f91e55,Carl Thomas,2000,2000,"Baby, for every time that you felt love was taken for granted
And I didn't care
Well, these are just a few words
To let you know how I feel
Hey, yeah
(Let me be the first to let you know)

Oh, I had an awful dream
That you were needing someone else's love to take the place of mine
So I over came the distance
That challenged my persistence
I let my ego go and drowned my pride
And you ask why

You're such a special lady
Though I haven't told you lately
So let me be the first to let you know
Such a special lady
Though I haven't told you lately
So let me be the first to let you know

One more thing I need to say
Is that I need you every day
It's not the same 'till you come back to me
Girl I've loved you from conception
So if you follow my direction
I'll lead you where you always need to be
Right next to me, oh

You're such a special lady
Though I haven't told you lately
So let me be the first to let you know
Such a special lady
Though I haven't told you lately
So let me be the first to let you know

Let me be the first to let you know
I appreciate the things you do for me
When you're loving me at night
Let me be the first to let it show
I'd show the way to go
Cuz every waking move is oh so right

You're such a special lady
Though I haven't told you lately
So let me be the first to let you know
Such a special lady
Though I haven't told you lately
So let me be the first to let you know",annotator_x,1,0,0,0,0,0,0,0,0,0
